Date,Pageviews,Log_Pageviews,Attention_Z,IAA,IOC,IOC_Velocity,IOC_Acceleration
2019-01-01,5551,8.62191350218664,,,,,
2019-01-02,8186,9.010302809376448,,,,,
2019-01-03,7904,8.975250749643573,,,,,
2019-01-04,6869,8.834919385216395,,,,,
2019-01-05,6559,8.788745881938135,,,,,
2019-01-06,6675,8.806274284781725,,,,,
2019-01-07,8013,8.98894529119609,,,,,
2019-01-08,7835,8.966483779064431,,,,,
2019-01-09,7670,8.945202263959297,,,,,
2019-01-10,7686,8.947285869349132,,,,,
2019-01-11,7321,8.898638793680181,,,,,
2019-01-12,6370,8.759511722116487,,,,,
2019-01-13,6639,8.80086724247048,,,,,
2019-01-14,6970,8.849513965486398,,,,,
2019-01-15,7039,8.859363449152088,,,,,
2019-01-16,6600,8.79497643168877,,,,,
2019-01-17,6788,8.823058934301647,,,,,
2019-01-18,9558,9.165238398063762,,,,,
2019-01-19,7477,8.91972065553706,,,,,
2019-01-20,6499,8.779557455883728,,,,,
2019-01-21,6513,8.781708985836179,,,,,
2019-01-22,6708,8.811205187562887,,,,,
2019-01-23,6808,8.826000545482966,,,,,
2019-01-24,6990,8.852378886511985,,,,,
2019-01-25,6080,8.71292443512011,,,,,
2019-01-26,5373,8.589327789175437,,,,,
2019-01-27,6278,8.744966011114109,,,,,
2019-01-28,7287,8.893984438939794,,,,,
2019-01-29,7046,8.860357273327022,,,,,
2019-01-30,7423,8.912473274466036,,,,,
2019-01-31,8036,8.991811158212718,,,,,
2019-02-01,7070,8.863757191604241,,,,,
2019-02-02,5968,8.69433468816865,,,,,
2019-02-03,5967,8.694167141883597,,,,,
2019-02-04,6734,8.815073088844464,,,,,
2019-02-05,7004,8.854379458771108,,,,,
2019-02-06,7123,8.871224644409553,,,,,
2019-02-07,6992,8.852664927703866,,,,,
2019-02-08,6589,8.793308627496552,,,,,
2019-02-09,5868,8.677439540558334,,,,,
2019-02-10,6203,8.73294952429643,,,,,
2019-02-11,7067,8.863332833439587,,,,,
2019-02-12,6884,8.837100411162755,,,,,
2019-02-13,7033,8.858510813033927,,,,,
2019-02-14,6254,8.741136422901011,,,,,
2019-02-15,5708,8.64979915596426,,,,,
2019-02-16,5751,8.657302899400882,,,,,
2019-02-17,5909,8.684401110400144,,,,,
2019-02-18,6186,8.73020559553099,,,,,
2019-02-19,6852,8.832441791585824,,,,,
2019-02-20,7217,8.884333185202735,,,,,
2019-02-21,6643,8.801469470733185,,,,,
2019-02-22,6502,8.780018887869153,,,,,
2019-02-23,6205,8.733271845008325,,,,,
2019-02-24,6126,8.720460512725655,,,,,
2019-02-25,7095,8.867286523989415,,,,,
2019-02-26,8310,9.025335217553026,,,,,
2019-02-27,7221,8.884887201837403,,,,,
2019-02-28,7500,8.922791623969637,,,,,
2019-03-01,11218,9.325364048544964,,,,,
2019-03-02,9175,9.124346658809207,2.3006710696007424,2.3006710696007424,81.78652028626276,,
2019-03-03,8913,9.0953783535065,1.9678805047051442,1.9678805047051442,75.47665524966575,-6.309865036597003,
2019-03-04,10543,9.263312256742289,3.2148455611833437,3.2148455611833437,92.27782715265488,16.801171902989125,23.11103693958613
2019-03-05,9009,9.106090350602384,1.8289173144840118,1.8289173144840118,72.32653953042103,-19.95128762223385,-36.752459525222974
2019-03-06,9042,9.10974625674048,1.774237719584504,1.774237719584504,70.99677632935317,-1.3297632010678626,18.621524421165986
2019-03-07,8428,9.039433419997483,1.217903883005317,1.217903883005317,54.33889228473353,-16.657884044619635,-15.328120843551773
2019-03-08,7831,8.965973184210347,0.6839554572413721,0.6839554572413721,32.924188386402285,-21.414703898331247,-4.756819853711612
2019-03-09,7029,8.857941984804711,-0.040817933251591644,0.0,0.0,-32.924188386402285,-11.509484488071038
2019-03-10,7477,8.91972065553706,0.3897204625086728,0.3897204625086728,19.24308090517024,19.24308090517024,52.167269291572524
2019-03-11,8775,9.079776001955066,1.4787888592736493,1.4787888592736493,62.87791507104477,43.63483416587453,24.39175326070429
2019-03-12,7690,8.947806093057054,0.5600194015214619,0.5600194015214619,27.291405881476226,-35.586509189568545,-79.22134335544308
2019-03-13,7474,8.919319398258887,0.3634676411418099,0.3634676411418099,17.975918451170664,-9.315487430305563,26.271021759262982
2019-03-14,8275,9.021115038865434,1.0275071743630833,1.0275071743630833,47.28646484909175,29.310546397921087,38.62603382822665
2019-03-15,13958,9.543879740512757,4.467535289222018,4.467535289222018,97.730925912731,50.444461063639245,21.13391466571816
2019-03-16,10774,9.28498391497195,2.3147659300756915,2.3147659300756915,82.0185172060668,-15.712408706664192,-66.15686977030344
2019-03-17,9479,9.156939595249067,1.4731566445080972,1.4731566445080972,62.707341275393304,-19.3111759306735,-3.5987672240093076
2019-03-18,9929,9.203315757039219,1.6699162192518686,1.6699162192518686,68.31293013736797,5.605588861974667,24.916764792648166
2019-03-19,8852,9.08851166361105,0.9907538222789019,0.9907538222789019,45.84735812969626,-22.46557200767171,-28.071160869646377
2019-03-20,7814,8.963800242855577,0.3373270250730217,0.3373270250730217,16.70821592089227,-29.139142208803992,-6.673570201132282
2019-03-21,7378,8.906393407058367,0.02560121441280612,0.02560121441280612,1.279990810206779,-15.428225110685489,13.710917098118504
2019-03-22,6959,8.847934753328465,-0.2999600660929546,0.0,0.0,-1.279990810206779,14.148234300478709
2019-03-23,6385,8.761863373274727,-0.7708799868816676,0.0,0.0,0.0,1.279990810206779
2019-03-24,6693,8.808966881771273,-0.5110026714188448,0.0,0.0,0.0,0.0
2019-03-25,7432,8.913684824725294,0.05350936528489622,0.05350936528489622,2.6748300686155315,2.6748300686155315,2.6748300686155315
2019-03-26,7077,8.864746660905409,-0.21504747739689858,0.0,0.0,-2.6748300686155315,-5.349660137231063
2019-03-27,7002,8.854093907655518,-0.2884464599034258,0.0,0.0,0.0,2.6748300686155315
2019-03-28,6852,8.832441791585824,-0.4408788236614982,0.0,0.0,0.0,0.0
2019-03-29,6158,8.725669705687043,-1.048961160262892,0.0,0.0,0.0,0.0
2019-03-30,5666,8.64241515616962,-1.4856219992719673,0.0,0.0,0.0,0.0
2019-03-31,6243,8.739376281635323,-0.9117166637920644,0.0,0.0,0.0,0.0
2019-04-01,7359,8.903815211722922,-5.6290163831894175e-05,0.0,0.0,0.0,0.0
2019-04-02,7148,8.874727765766853,-0.14981137149747142,0.0,0.0,0.0,0.0
2019-04-03,6656,8.803424211600703,-0.5374945726198933,0.0,0.0,0.0,0.0
2019-04-04,8829,9.085910293598007,0.9928897460502846,0.9928897460502846,45.93166465912512,45.93166465912512,45.93166465912512
2019-04-05,7090,8.866581653303996,-0.24316584378130815,0.0,0.0,-45.93166465912512,-91.86332931825024
2019-04-06,5889,8.681011276645632,-1.268669540665321,0.0,0.0,0.0,45.93166465912512
2019-04-07,6515,8.782015969721936,-0.6887518540988224,0.0,0.0,0.0,0.0
2019-04-08,7101,8.868131713503033,-0.21230059949355815,0.0,0.0,0.0,0.0
2019-04-09,7055,8.861633597686627,-0.2489425081664074,0.0,0.0,0.0,0.0
2019-04-10,6469,8.774931387494947,-0.7263585992231149,0.0,0.0,0.0,0.0
2019-04-11,6716,8.812396905266864,-0.536655518668854,0.0,0.0,0.0,0.0
2019-04-12,6947,8.846209127360996,-0.36076220891801686,0.0,0.0,0.0,0.0
2019-04-13,6075,8.712101863715663,-1.0971943896903067,0.0,0.0,0.0,0.0
2019-04-14,6496,8.77909581088053,-0.7107949712444702,0.0,0.0,0.0,0.0
2019-04-15,6689,8.808369153122275,-0.54187678893918,0.0,0.0,0.0,0.0
2019-04-16,6675,8.806274284781725,-0.5619000240434434,0.0,0.0,0.0,0.0
2019-04-17,7128,8.871926251117628,-0.22075081348920148,0.0,0.0,0.0,0.0
2019-04-18,6131,8.721276239991704,-1.0939598755779423,0.0,0.0,0.0,0.0
2019-04-19,5708,8.64979915596426,-1.5067520909247465,0.0,0.0,0.0,0.0
2019-04-20,6055,8.708804795117285,-1.153813400521757,0.0,0.0,0.0,0.0
2019-04-21,6448,8.771680359010377,-0.782416675330449,0.0,0.0,0.0,0.0
2019-04-22,8220,9.014447135152134,0.5736254028463956,0.5736254028463956,27.91985927802993,27.91985927802993,27.91985927802993
2019-04-23,9407,9.149315670138408,1.3001044476159296,1.3001044476159296,57.17051217609696,29.250652898067035,1.330793620037106
2019-04-24,9150,9.121618441915379,1.1029448549157441,1.1029448549157441,50.16229519174688,-7.008216984350085,-36.258869882417116
2019-04-25,9578,9.167328481382892,1.3169890662198804,1.3169890662198804,57.736065886116194,7.5737706943693155,14.5819876787194
2019-04-26,7658,8.943636705909594,0.05102564931526768,0.05102564931526768,2.5507290630049777,-55.185336823111214,-62.75910751748053
2019-04-27,6725,8.813735892300215,-0.6659223908665822,0.0,0.0,-2.5507290630049777,52.634607760106235
2019-04-28,6788,8.823058934301647,-0.5947762361622305,0.0,0.0,0.0,2.5507290630049777
2019-04-29,6956,8.847503625923641,-0.45463966537095873,0.0,0.0,0.0,0.0
2019-04-30,6709,8.811354229965728,-0.6435265757022818,0.0,0.0,0.0,0.0
2019-05-01,7136,8.873047798971067,-0.2718276312380033,0.0,0.0,0.0,0.0
2019-05-02,7564,8.931287626222456,0.08158777246515155,0.08158777246515155,4.07712723572256,4.07712723572256,4.07712723572256
2019-05-03,7355,8.903271585724212,-0.06330605052019155,0.0,0.0,-4.07712723572256,-8.15425447144512
2019-05-04,6129,8.720950028930258,-1.1186277524681265,0.0,0.0,0.0,4.07712723572256
2019-05-05,6574,8.791029857045965,-0.6630827841943571,0.0,0.0,0.0,0.0
2019-05-06,6777,8.821437352166997,-0.4538606854782113,0.0,0.0,0.0,0.0
2019-05-07,6558,8.788593431293735,-0.633471569167147,0.0,0.0,0.0,0.0
2019-05-08,7211,8.883501584323207,-0.03904472735074961,0.0,0.0,0.0,0.0
2019-05-09,7081,8.86531163267185,-0.15197619699245668,0.0,0.0,0.0,0.0
2019-05-10,7223,8.88516409509682,-0.026058222490618805,0.0,0.0,0.0,0.0
2019-05-11,6602,8.79527937019457,-0.5580950950014412,0.0,0.0,0.0,0.0
2019-05-12,7052,8.86120833720818,-0.13769642473312496,0.0,0.0,0.0,0.0
2019-05-13,6983,8.851377097519439,-0.19206794979332042,0.0,0.0,0.0,0.0
2019-05-14,6783,8.822322177471738,-0.35496941442393054,0.0,0.0,0.0,0.0
2019-05-15,6735,8.815221555922163,-0.3846022609266263,0.0,0.0,0.0,0.0
2019-05-16,6840,8.830689198760998,-0.23364393806847839,0.0,0.0,0.0,0.0
2019-05-17,6664,8.804625232612809,-0.41849210962512706,0.0,0.0,0.0,0.0
2019-05-18,5945,8.690474003558043,-1.426374149743759,0.0,0.0,0.0,0.0
2019-05-19,6099,8.716044050161402,-1.1639380362414449,0.0,0.0,0.0,0.0
