Date,TSLA_Price,VOO_Price,TSLA_Return,VOO_Return,Expected_Return,AR,CAR_5,CAR_Z,Sample
2019-01-03,20.02400016784668,199.84231567382812,-0.03147171266518323,-0.023870802907086652,-0.034278308281176686,0.0028065956159934596,,,Train
2019-01-04,21.179332733154297,206.43849182128906,0.0576973909120706,0.0330069040944605,0.050589141279232835,0.007108249632837765,,,Train
2019-01-07,22.33066749572754,207.98736572265625,0.05436123871697496,0.007502834804218761,0.012534419523028709,0.04182681919394625,,,Train
2019-01-08,22.356666564941406,210.008056640625,0.0011642764023440666,0.009715450315685326,0.015835871800471267,-0.0146715953981272,,,Train
2019-01-09,22.568666458129883,210.97833251953125,0.009482625353500751,0.004620184074969114,0.008233205070796702,0.0012494202827040488,0.03831948932735432,0.4840768074646439,Train
2019-01-10,22.99799919128418,211.85964965820312,0.019023398389568458,0.004177287440596755,0.007572357266628914,0.011451041122939543,0.046963934834300405,0.5932790869511138,Train
2019-01-11,23.150667190551758,211.76171875,0.0066383165769237085,-0.0004622442657726822,0.0006496938219946475,0.005988622754929061,0.0458443079563917,0.5791352292399736,Train
2019-01-14,22.293333053588867,210.59555053710938,-0.03703280470952408,-0.005506983130729948,-0.006877580812257969,-0.03015522389726611,-0.026137735134820657,-0.3301889352003536,Train
2019-01-15,22.961999893188477,213.06130981445312,0.029994027272290946,0.011708506048940803,0.018809718072237167,0.011184309200053779,-0.0002818305366396774,-0.0035602673422162148,Train
2019-01-16,23.06999969482422,213.53311157226562,0.004703414429845898,0.0022143943366506047,0.0046435167722838405,5.9897657562057484e-05,-0.0014713531617816687,-0.018587093766404723,Train
2019-01-17,23.15399932861328,215.12652587890625,0.0036410765019605495,0.007462141561597413,0.012473700976208197,-0.008832624474247647,-0.02175501875896886,-0.27482360052375415,Train
2019-01-18,20.150667190551758,218.01951599121094,-0.1297111611448507,0.013447854003523219,0.02140500597298727,-0.15111616711783799,-0.1788598086317359,-2.2594738778103047,Train
2019-01-22,19.92799949645996,215.11758422851562,-0.011050140026936717,-0.013310422002827949,-0.01852112254043456,0.0074709825134978425,-0.14123360222097195,-1.7841550727831643,Train
2019-01-23,19.172666549682617,215.43812561035156,-0.03790309945117787,0.001490075220886844,0.003562757380540969,-0.041465856831718835,-0.19388376825274456,-2.44926634468496,Train
2019-01-24,19.43400001525879,215.65171813964844,0.013630522645296628,0.000991433288289878,0.0028187317983875424,0.010811790846909086,-0.1831318750633975,-2.313441410150027,Train
2019-01-25,19.80266761779785,217.48545837402344,0.018970237843449533,0.008503248896851057,0.014027141311965889,0.0049430965314836445,-0.16935615405766624,-2.1394175084218348,Train
2019-01-28,19.7586669921875,215.80300903320312,-0.0022219544588429896,-0.007735916476433569,-0.010203380994126612,0.007981426535283623,-0.010258560404544639,-0.1295928327069393,Train
2019-01-29,19.83066749572754,215.5360107421875,0.0036439960027925267,-0.001237231548400497,-0.0005066677401299622,0.004150663742922489,-0.013578879175119993,-0.17153726720851517,Train
2019-01-30,20.584667205810547,218.94532775878906,0.038021902704256094,0.015817853382651625,0.0249412913362652,0.013080611367990894,0.04096758902458973,0.5175293317489572,Train
2019-01-31,20.468000411987305,220.7701416015625,-0.005667655087972956,0.008334563982035803,0.013775445889376224,-0.01944310097734918,0.01071269720033147,0.13532978521115185,Train
2019-02-01,20.81399917602539,220.95712280273438,0.01690437546773982,0.0008469496817613553,0.002603147242754315,0.014301228224985503,0.02007082889383333,0.2535478145623496,Train
2019-02-04,20.859333038330078,222.53271484375,0.002178046704109926,0.007130759221653404,0.01197924408785924,-0.009801197383749315,0.0022882049748003917,0.028906099180068735,Train
2019-02-05,21.42333221435547,223.52078247070312,0.027038217137097087,0.0044401005382372905,0.007964501719766176,0.01907371541733091,0.017211256649208813,0.21742383099182233,Train
2019-02-06,21.148000717163086,223.24476623535156,-0.012851945460094494,-0.001234857145275714,-0.0005031248839205316,-0.012348820576173963,-0.008218175294956043,-0.10381735586249778,Train
2019-02-07,20.500667572021484,221.05502319335938,-0.030609661584522496,-0.009808709422032713,-0.013296203472976243,-0.017313458111546255,-0.00608853242915312,-0.07691431676636297,Train
2019-02-08,20.386667251586914,221.33987426757812,-0.005560810155770368,0.0012885980608077219,0.0032621325202574075,-0.008822942676027776,-0.0292127033301664,-0.36903394104952353,Train
2019-02-11,20.856000900268555,221.45558166503906,0.02302159754165345,0.0005227589373302255,0.0021194209622590037,0.020902176579394444,0.0014906706329773575,0.018831124674666955,Train
2019-02-12,20.78733253479004,224.32196044921875,-0.003292499161602569,0.01294335759175036,0.020652244899507705,-0.023944744061110274,-0.04152778884546383,-0.5246061416332011,Train
2019-02-13,20.544666290283203,224.9984130859375,-0.011673755836671518,0.003015543531110776,0.0058389146256002875,-0.017512670462271805,-0.046691638731561666,-0.5898392648028383,Train
2019-02-14,20.251333236694336,224.5,-0.014277820308407851,-0.0022151848944247376,-0.001965875761013933,-0.012311944547393918,-0.04169012516740933,-0.5266568800392276,Train
