Sample,Trades,Candidate_Events,Incomplete_Events,Boundary_Events,Win_Rate_Pct,Mean_Gross_Return,Mean_Net_Return,Median_Net_Return,Std_Net_Return,Cumulative_Event_Net_Return,Mean_Abnormal_MarketModel,Mean_Abnormal_CAPM,Net_T_Statistic,Net_P_Value,MarketModel_T_Statistic,MarketModel_P_Value,CAPM_T_Statistic,CAPM_P_Value
Train,47,47,0,0,38.297872340425535,-0.023554439510600666,-0.02555443951060066,-0.01702359647745355,0.0790665835208672,-0.746176698468406,-0.02087796727647637,-0.020783479917744,,,,,,
Test,11,11,0,0,63.63636363636363,0.02743158116777843,0.02543158116777843,0.014922839146848554,0.03852386933738608,0.30890397976746553,0.019144385217527947,0.019096945620170412,2.1894740588047217,0.05338340413221364,1.7599066287996334,0.10892013498046495,1.7607387977413995,0.10877339432372134
Total,58,58,0,0,43.103448275862064,-0.013884676968149453,-0.015884676968149457,-0.006546922364690509,0.0755776683762777,-0.6677696704675793,-0.013287521113820379,-0.013219950936415403,,,,,,
